standard_code,level,variant_no,template_text
6과01-01,매우잘함,1,여러 지층을 관찰하여 공통적인 특징을 파악하고 형성 과정을 모형으로 표현하여 설명함.
6과01-01,매우잘함,2,다양한 지층을 관찰해 공통된 특징을 찾아내고 형성 과정을 모형으로 정확히 표현함.
6과01-01,잘함,1,지층을 관찰하여 특징을 말하고 형성 과정을 모형으로 표현함.
6과01-01,잘함,2,지층의 특징을 파악하고 이를 간단한 모형으로 나타내어 봄.
6과01-01,보통,1,지층을 관찰하며 두께나 색이 서로 다름을 살펴봄.
6과01-01,보통,2,지층 관찰 활동을 통해 두께와 색의 차이를 알아가는 모습을 보임.
6과01-02,매우잘함,1,지층이 퇴적암으로 이루어짐을 알고 이암 사암 역암을 알갱이 크기에 따라 정확히 분류함.
6과01-02,매우잘함,2,퇴적암의 종류를 관찰하여 알갱이 크기 차이에 따라 이암 사암 역암으로 능숙하게 구분함.
6과01-02,잘함,1,이암 사암 역암이 퇴적암임을 알고 알갱이의 크기를 비교함.
6과01-02,잘함,2,퇴적암의 종류를 관찰하고 알갱이 크기의 차이를 비교하여 설명함.
6과01-02,보통,1,이암 사암 역암을 관찰하며 알갱이 크기가 다름을 알아감.
6과01-02,보통,2,퇴적암 관찰 활동을 통해 알갱이 크기 차이에 관심을 가지는 모습을 보임.
6과01-03,매우잘함,1,화석의 생성 과정을 모형으로 설명하고 지구의 과거 생물과 환경을 추리하며 화석의 가치를 인식함.
6과01-03,매우잘함,2,화석 관찰과 모형 제작을 통해 과거 생물과 환경을 논리적으로 추리하고 그 가치를 깊이 인식함.
6과01-03,잘함,1,화석의 생성 과정을 모형으로 설명하고 과거 생물의 모습을 추리함.
6과01-03,잘함,2,화석을 관찰하여 생성 과정을 이해하고 과거 생물의 모습을 추리해봄.
6과01-03,보통,1,여러 화석을 관찰하며 화석에 대한 관심을 키워감.
6과01-03,보통,2,화석 관찰 활동에 흥미를 보이며 참여함.
6과02-01,매우잘함,1,어둠상자 속 물체 관찰로 빛의 필요성을 스스로 도출하고 탐구 활동에 적극적으로 참여함.
6과02-01,매우잘함,2,물체를 보려면 빛이 있어야 함을 실험으로 확인하고 빛의 성질 탐구에 열정적으로 임함.
6과02-01,잘함,1,어둠상자 속 물체 관찰을 통해 빛이 있어야 물체를 볼 수 있음을 말함.
6과02-01,잘함,2,빛과 물체가 보이는 관계를 관찰하여 그 원리를 설명함.
6과02-01,보통,1,빛에 의한 여러 현상에 흥미를 가지는 모습을 보임.
6과02-01,보통,2,빛과 관련된 현상에 관심을 보이며 활동에 참여함.
6과02-02,매우잘함,1,빛이 나아가는 다양한 현상을 관찰하여 직진 반사 굴절하는 성질을 논리적으로 추리함.
6과02-02,매우잘함,2,여러 실험을 통해 빛의 직진 반사 굴절 성질을 스스로 도출하여 설명함.
6과02-02,잘함,1,빛이 거울과 렌즈를 통해 나아가는 모습을 관찰하고 직진 반사 굴절과 관련지음.
6과02-02,잘함,2,빛의 진행 모습을 관찰하여 반사와 굴절 현상을 설명함.
6과02-02,보통,1,빛이 물체를 만나면 경로가 바뀐다는 것을 알아감.
6과02-02,보통,2,빛의 진행 경로 변화 관찰 활동에 관심을 보임.
6과02-03,매우잘함,1,거울과 렌즈의 쓰임새를 빛의 성질과 관련지어 설명하고 창의적인 장치를 제작함.
6과02-03,매우잘함,2,거울과 렌즈 활용 사례를 깊이 조사하고 이를 응용한 독창적 장치를 만들어냄.
6과02-03,잘함,1,거울과 렌즈의 쓰임새를 조사하고 빛의 성질과 관련지음.
6과02-03,잘함,2,일상 속 거울과 렌즈 활용 사례를 조사하여 원리와 연결지어 설명함.
6과02-03,보통,1,일상생활에서 거울과 렌즈가 쓰이는 사례를 찾아봄.
6과02-03,보통,2,거울과 렌즈의 쓰임새 조사 활동에 꾸준히 참여함.
6과03-01,매우잘함,1,용해 현상의 의미를 이해하고 용질의 종류와 물의 온도에 따른 용해량 변화의 요인을 찾아냄.
6과03-01,매우잘함,2,용질과 물의 온도 조건을 비교 실험하여 용해량에 영향을 주는 요인을 정확히 규명함.
6과03-01,잘함,1,용해 현상의 의미를 말하고 용질 종류나 물 온도에 따른 용해량 차이를 비교함.
6과03-01,잘함,2,용질의 종류와 물의 온도에 따라 녹는 양이 달라짐을 실험으로 확인함.
6과03-01,보통,1,물에 녹는 물질이 있음을 이해하고 용해 전후 무게 변화를 설명함.
6과03-01,보통,2,용해 현상에 관심을 가지고 무게 변화 관찰 활동에 참여함.
6과03-02,매우잘함,1,용질이나 용매의 양에 따른 진하기 변화를 이해하고 용액의 진하기를 상대적으로 정확히 비교함.
6과03-02,매우잘함,2,용액의 진하기 변화 원리를 이해하고 다양한 용액의 진하기를 체계적으로 비교함.
6과03-02,잘함,1,용질이나 용매의 양에 따라 진하기가 달라짐을 알고 물체가 뜨는 정도로 비교함.
6과03-02,잘함,2,용액의 진하기 변화를 관찰하고 물체의 뜨는 정도로 진하기를 비교함.
6과03-02,보통,1,용질이나 용매의 양에 따라 용액의 진하기가 달라짐을 말함.
6과03-02,보통,2,용액의 진하기 변화 관찰 활동에 흥미를 가지고 참여함.
6과03-03,매우잘함,1,일상 속 용액 활용 사례를 조사하여 용액의 필요성을 알리는 자료를 만들어 공유함.
6과03-03,매우잘함,2,다양한 용액 활용 사례를 조사하고 이를 효과적으로 정리한 홍보 자료를 완성함.
6과03-03,잘함,1,일상생활에서 용액이 쓰이는 사례를 조사하여 사례별로 정리함.
6과03-03,잘함,2,용액이 활용되는 다양한 사례를 조사하고 정리하여 제시함.
6과03-03,보통,1,일상생활에서 용액이 다양하게 쓰이는 사례를 찾아 말함.
6과03-03,보통,2,용액 활용 사례 조사 활동에 관심을 가지고 참여함.
6과04-01,매우잘함,1,뼈와 근육의 생김새를 관찰하고 모형으로 몸이 움직이는 원리를 운동 중 변화와 함께 설명함.
6과04-01,매우잘함,2,뼈와 근육 모형을 제작하여 신체 움직임의 원리와 운동 시 변화를 논리적으로 설명함.
6과04-01,잘함,1,뼈와 근육이 움직이는 모습을 관찰하고 모형으로 몸의 움직임을 설명함.
6과04-01,잘함,2,뼈와 근육의 움직임을 관찰하여 모형을 만들고 그 원리를 나타냄.
6과04-01,보통,1,뼈와 근육의 생김새를 관찰하고 간단한 모형을 만들어봄.
6과04-01,보통,2,뼈와 근육 관찰과 모형 제작 활동에 참여하는 모습을 보임.
6과04-02,매우잘함,1,소화 순환 호흡 배설 기관의 구조와 기능을 알고 각 기관이 서로 관련됨을 논리적으로 설명함.
6과04-02,매우잘함,2,우리 몸 각 기관의 구조와 기능을 깊이 이해하고 기관 간 유기적 관계를 명확히 설명함.
6과04-02,잘함,1,소화 순환 호흡 배설 기관의 종류와 구조 및 기능을 설명함.
6과04-02,잘함,2,우리 몸의 여러 기관의 구조와 기능을 조사하여 설명함.
6과04-02,보통,1,소화 순환 호흡 배설 기관의 종류를 말함.
6과04-02,보통,2,우리 몸의 여러 기관에 관심을 가지고 종류를 알아감.
