standard_code,level,variant_no,template_text
6국01-01,매우잘함,1,"대화에서 생략된 내용을 상황과 맥락 속에서 정확히 추론하며 경청하는 능력이 뛰어남."
6국01-01,매우잘함,2,"대화 중 드러나지 않은 상대의 속뜻까지 세심하게 헤아려 듣는 추론적 듣기 능력이 돋보임."
6국01-01,잘함,1,"대화에서 생략된 내용을 대체로 잘 추론하며 상대의 말을 주의 깊게 듣는 태도를 지님."
6국01-01,잘함,2,"상황 맥락을 활용하여 대화 속 생략된 의미를 무리 없이 짐작하며 듣는 모습을 볼 수 있음."
6국01-01,보통,1,"대화 속 생략된 내용을 추론하며 듣기 위해 꾸준히 노력하는 모습을 보임."
6국01-01,보통,2,"맥락을 살펴 숨은 뜻을 짐작하는 듣기 활동에 점차 익숙해지는 모습을 보임."
6국01-06,매우잘함,1,"토의에서 다양한 의견을 논리적으로 비교하고 합리적으로 조정하며 협력적으로 참여함."
6국01-06,매우잘함,2,"모둠 토의 중 서로 다른 생각을 존중하며 절충안을 이끌어 내는 협력적 소통 능력이 우수함."
6국01-06,잘함,1,"토의에 적극적으로 참여하여 자신과 다른 의견을 비교하고 조정하려 노력함."
6국01-06,잘함,2,"친구들의 의견을 경청하고 자신의 생각과 견주어 절충점을 찾아가는 모습이 나타남."
6국01-06,보통,1,"토의에 참여하며 서로의 의견을 비교하고 조정하려는 태도를 보임."
6국01-06,보통,2,"모둠 토의 과정에서 다른 사람의 의견을 받아들이려 애쓰는 모습을 보임."
6국02-01,매우잘함,1,"글의 구조를 정확히 분석하여 주제와 주장을 명료하게 파악하고 핵심을 간결하게 요약함."
6국02-01,매우잘함,2,"글 전체의 짜임을 꿰뚫어 보며 중심 내용을 정확히 간추려 내는 요약 능력이 뛰어남."
6국02-01,잘함,1,"글의 구조를 파악하여 주제를 이해하고 대체로 정확하게 내용을 요약함."
6국02-01,잘함,2,"글의 흐름을 살펴 중심 문장을 찾아내고 이를 바탕으로 내용을 정리하는 모습이 나타남."
6국02-01,보통,1,"글의 구조를 살펴보며 주제를 파악하고 요약하는 연습을 꾸준히 해 나감."
6국02-01,보통,2,"글의 중심 내용을 간추려 요약하는 활동에 점차 익숙해지는 모습을 보임."
6국02-03,매우잘함,1,"글의 내용이 타당한지, 표현이 적절한지 비판적으로 분석하며 근거를 들어 평가함."
6국02-03,매우잘함,2,"자료를 꼼꼼히 살펴 논리의 허점과 표현의 적절성을 예리하게 짚어내는 비판적 사고력이 뛰어남."
6국02-03,잘함,1,"글이나 자료를 읽고 내용의 타당성과 표현의 적절성을 대체로 잘 평가함."
6국02-03,잘함,2,"글에 담긴 주장과 근거를 살펴보고 그 적절성을 판단하려는 모습이 자주 보임."
6국02-03,보통,1,"글의 타당성과 표현의 적절성을 평가하는 활동에 관심을 가지고 참여함."
6국02-03,보통,2,"자료를 읽고 내용과 표현을 판단해 보려는 시도를 점차 늘려가는 모습을 보임."
6국03-02,매우잘함,1,"타당한 근거를 체계적으로 제시하고 인용 출처를 정확히 밝히며 설득력 있는 주장하는 글을 씀."
6국03-02,매우잘함,2,"자료의 출처를 꼼꼼히 밝히고 논리적인 근거를 들어 설득력 있게 주장을 펼치는 글쓰기 능력이 돋보임."
6국03-02,잘함,1,"적절한 근거를 활용하여 주장하는 글을 쓰고 인용 출처를 밝히려 노력함."
6국03-02,잘함,2,"자신의 주장에 알맞은 근거를 찾아 글을 쓰고 출처 표기에도 신경 쓰는 모습이 보임."
6국03-02,보통,1,"근거를 들어 주장하는 글을 쓰고 출처를 밝히는 연습을 꾸준히 이어감."
6국03-02,보통,2,"주장하는 글에 알맞은 근거와 출처를 담아보려는 노력을 점차 기울이는 모습을 보임."
6국04-04,매우잘함,1,"문장 성분의 역할을 정확히 이해하고 호응 관계가 올바른 문장을 능숙하게 구성함."
6국04-04,매우잘함,2,"주어와 서술어 등 문장 성분 간의 호응을 정확히 파악하여 바른 문장을 짜임새 있게 만드는 문법 이해력이 우수함."
6국04-04,잘함,1,"문장 성분을 이해하고 호응 관계에 맞는 문장을 대체로 바르게 구성함."
