code,subject,domain,grade,description
6국01-01,국어,듣기·말하기,6학년,"대화에서 생략된 내용을 추론하며 듣는다."
6국01-06,국어,듣기·말하기,6학년,"토의에 협력적으로 참여하며 서로의 의견을 비교하고 조정한다."
6국02-01,국어,읽기,6학년,"글의 구조를 고려하며 주제나 주장을 파악하고 글 내용을 요약한다."
6국02-03,국어,읽기,6학년,"글이나 자료를 읽고 내용의 타당성과 표현의 적절성을 평가한다."
6국03-02,국어,쓰기,6학년,"적절한 근거를 사용하고 인용의 출처를 밝히며 주장하는 글을 쓴다."
6국04-04,국어,문법,6학년,"문장 성분을 이해하고 호응 관계가 올바른 문장을 구성한다."
6국05-02,국어,문학,6학년,"비유적 표현의 효과에 유의하여 작품을 감상한다."
6수01-01,수학,수와 연산,6학년,"덧셈, 뺄셈, 곱셈, 나눗셈의 혼합 계산에서 계산하는 순서를 알고, 혼합 계산을 할 수 있다."
6수01-04,수학,수와 연산,6학년,"약수, 공약수, 최대공약수를 이해하고 구할 수 있다."
6수02-02,수학,변화와 관계,6학년,"두 양의 크기를 비교하는 상황을 통해 비의 개념을 이해하고, 두 양의 관계를 비로 나타낼 수 있다."
6수02-04,수학,변화와 관계,6학년,"비례식을 알고, 그 성질을 이해하며, 이를 활용하여 간단한 비례식을 풀 수 있다."
6수03-05,수학,도형과 측정,6학년,"각기둥과 각뿔을 이해하고, 구성 요소와 성질을 탐구하고 설명할 수 있다."
6수03-16,수학,도형과 측정,6학년,"원주와 원의 넓이를 구하는 방법을 이해하고, 이를 구할 수 있다."
6수04-01,수학,자료와 가능성,6학년,"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다."
6사01-02,사회,지리,6학년,"독도의 지리적 특성과 독도에 대한 역사 기록을 바탕으로 영토로서 독도의 중요성을 이해한다."
6사05-01,사회,역사,6학년,"조선 시대 사람들의 생각과 생활에 유교 문화가 미친 영향을 파악한다."
6사06-01,사회,역사,6학년,"일제의 식민 통치와 이에 대한 저항이 사회와 생활에 미친 영향을 이해한다."
6사08-01,사회,정치,6학년,"민주주의에서 선거의 의미와 역할을 파악하고, 시민의 주권 행사를 위해 선거에 참여하는 태도를 기른다."
6사08-02,사회,정치,6학년,"민주 국가에서 국회, 행정부, 법원이 하는 일에 대해 이해하고, 각 국가기관의 권력을 분립하는 이유를 탐색한다."
6사11-01,사회,경제,6학년,"시장경제에서 가계와 기업의 역할을 이해하고, 근로자의 권리와 기업의 자유 및 사회적 책임을 탐색한다."
6사12-02,사회,국제사회,6학년,"지구촌을 위협하는 다양한 문제들을 파악하고, 지속가능한 미래를 위한 해결 방안을 탐색한다."
6과01-01,과학,지구와 우주,6학년,"지층의 특징을 알고, 지층의 형성 과정을 모형으로 표현할 수 있다."
6과04-02,과학,생명,6학년,"소화, 순환, 호흡, 배설 기관의 구조와 기능을 알아보고, 우리 몸의 여러 기관이 서로 관련되어 있음을 설명할 수 있다."
6과07-01,과학,운동과 에너지,6학년,"물체의 따뜻하고 차가운 정도를 온도로 표현함을 알고, 온도계를 이용하여 온도를 측정할 수 있다."
6과09-01,과학,물질,6학년,"여러 가지 용액에 지시약을 넣었을 때의 변화를 관찰하여 용액을 산성 용액과 염기성 용액으로 분류할 수 있다."
6과10-02,과학,운동과 에너지,6학년,"물체의 이동 거리와 걸린 시간을 측정하여 속력을 구하고 빠르기를 비교할 수 있다."
6과12-02,과학,지구와 우주,6학년,"지구의 자전을 알고, 낮과 밤이 생기는 이유를 설명할 수 있다."
6영01-01,영어,듣기,6학년,"간단한 단어, 어구, 문장을 듣고 강세, 리듬, 억양을 식별한다."
6영01-04,영어,듣기,6학년,"일상생활 주제에 관한 담화나 글의 세부 정보를 파악한다."
6영01-02,영어,읽기,6학년,"간단한 단어, 어구, 문장을 강세, 리듬, 억양에 맞게 소리 내어 읽는다."
6영01-05,영어,읽기,6학년,"일상생활 주제에 관한 담화나 글의 중심 내용을 파악한다."
6영02-01,영어,말하기,6학년,"간단한 단어, 어구, 문장을 강세, 리듬, 억양에 맞게 말한다."
6영02-04,영어,말하기,6학년,"주변 사람이나 사물을 간단한 문장으로 소개하거나 묘사한다."
6영02-03,영어,쓰기,6학년,"알파벳 대소문자와 문장 부호를 문장에서 바르게 사용한다."
6도01-01,도덕,자신과의 관계,6학년,"자주적인 삶에 대한 이해를 바탕으로 자신의 생활계획을 세우고 실천하여 주체적인 삶의 태도를 기른다."
6도02-01,도덕,타인과의 관계,6학년,"봉사의 의미와 중요성을 이해하고, 타인이 처한 상황과 환경에 대한 주의 깊은 관심을 바탕으로 봉사를 실천한다."
6도03-01,도덕,사회·공동체와의 관계,6학년,"인권과 관련된 다양한 사례를 살펴보고 인권에 관한 감수성을 길러 이를 실천하려는 의지를 함양한다."
6도03-02,도덕,사회·공동체와의 관계,6학년,"정의에 관한 관심을 토대로 공동체 규칙의 중요성을 살펴보고 직접 공정한 규칙을 고안하여 기초적인 시민의식을 기른다."
6도04-01,도덕,자연·초월과의 관계,6학년,"지구의 환경 위기 상황을 이해하고, 이를 극복하기 위한 다양한 방안을 찾아 자신의 일상에서 실천하고자 노력한다."
6실01-02,실과,생활자립(인간 발달과 주도적 삶),6학년,"건강한 발달을 위한 자기 관리 방법을 탐색하고, 일상생활 속에서 올바른 생활습관과 태도를 갖도록 계획하여 실천한다."
6실02-02,실과,생활자립(생활환경과 지속가능한 선택),6학년,"생활자원 관리의 필요성을 인식하고, 생활자원의 합리적인 보관과 활용방법을 익힌다."
